Transaction Number,Vendor,Category,Amount
5201138402,EQUINOX,Social care,"£8,656"
8001848970,ASPIRE HOUSE,Temporary Accommodation,"£8,636"
1900802823,HEYWOOD LIMITED,People and Recruitment,"£8,604"
8001848966,GOLD ORCHID LTD T/A CARLTON VALE,Temporary Accommodation,"£8,569"
8001847534,CMG LTD,Temporary Accommodation,"£8,540"
8001843652,HF TRUST LTD,Social care,"£8,523"
1900804479,THOMAS RIDLEY & SON  LTD,Food and Drink,"£8,511"
1900803309,REDACTED PERSONAL DATA,General,"£8,494"
8001839821,EDENVALE CARE LIMITED,Temporary Accommodation,"£8,474"
5201139352,B & L COACHES,Transport & Travel,"£8,455"
5201138880,RINGWAY JACOBS LIMITED,Public Realm,"£8,454"
8001848507,NORWOOD SCHOOLS LTD,Temporary Accommodation,"£8,431"
8001848546,RESIDENTIAL CARE PROVIDERS LTD,Temporary Accommodation,"£8,404"
1900804322,THOMAS RIDLEY & SON  LTD,Food and Drink,"£8,400"
1900803374,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£8,336"
1900802794,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£8,333"
1900803082,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£8,309"
8001847501,DRS CARE HOMES LTD,Temporary Accommodation,"£8,293"
1900802606,SHAW & SONS LIMITED,General,"£8,292"
5201138592,NATIONAL RESCOURCE CENTRE FOR SUP E,Communication,"£8,262"
1900804184,GATENBYSANDERSON LTD,Communication,"£8,200"
1900803445,KISHARON,General,"£8,167"
1900803179,STACE LLP,"Construction, Property and Fac Man","£8,159"
5201138864,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£8,157"
5201140130,EXPRESSWAYS LTD,Transport & Travel,"£8,142"
5201140629,SAM'S CARS LIMITED,Transport & Travel,"£8,142"
8001850510,GCH PEREGRINE HOUSE LTD,Social care,"£8,120"
8001847491,ROYAL MENCAP SOCIETY,Social care,"£8,111"
5201138878,RINGWAY JACOBS LIMITED,Public Realm,"£8,105"
8001843797,HAIL LTD,Social care,"£8,104"
1900802103,WILKIN CHAPMAN LLP,General,"£8,087"
8001848544,SENSE,Temporary Accommodation,"£8,024"
1900804987,VAROSI ESTATES LIMITED,Temporary Accommodation,"£8,019"
5201141506,THOMAS RIDLEY & SON  LTD,Food and Drink,"£8,013"
8001810639,ADEZA CARE HOMES LTD,Temporary Accommodation,"£8,000"
8001810641,YOUNG GENERATION,Temporary Accommodation,"£8,000"
1900803268,PLEXUS LAW CLIENT ACCOUNT,Finance,"£8,000"
5201139195,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£7,992"
1900803450,KISHARON,General,"£7,991"
1900803446,KISHARON,General,"£7,991"
8001847621,DRS CARE HOMES LTD,Temporary Accommodation,"£7,971"
8001848956,YOUNG GENERATION,Temporary Accommodation,"£7,971"
8001847664,DRS CARE HOMES LTD,Temporary Accommodation,"£7,971"
8001847540,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£7,971"
5201139865,TOTTENHAM HOTSPUR FOUNDATION,Learning and Development,"£7,965"
8001848930,INTEGRATED SERVICES PROGRAMME,Children and Education,"£7,963"
5201139372,LYNCADE LTD t/a CAVENDISH CARS,Transport & Travel,"£7,928"
1900805084,GANDLAKE LIMITED,IT and Telecoms,"£7,916"
8001843630,SAIVAN CARE SERVICES LTD,Temporary Accommodation,"£7,878"
1900803325,DEPARTMENT FOR WORK AND PENSIONS,General,"£7,876"
1900804985,VAROSI ESTATES LIMITED,Temporary Accommodation,"£7,872"
5201138760,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£7,856"
8001842704,SUNCARE RECOVERY LTD,Temporary Accommodation,"£7,844"
