Transaction,Vendor,Category,  Amount  
8001480532,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,350.00"
8001480546,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,350.00"
8001492207,REDACTED PERSONAL DATA,"Construction, Property and Fac Man","£1,350.00"
8001484996,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,350.00"
5201110242,SHOWMOBILE SERVICES LTD,Communication,"£1,350.00"
8001480515,REDACTED PERSONAL DATA,"Construction, Property and Fac Man","£1,350.00"
1900782715,RSP LIMITED,Travel,"£1,349.40"
8001479302,METHODIST HOMES FOR THE AGED,Temporary Accommodation,"£1,349.07"
1900782980,GREAT ORMOND ST HOSP FOR CHILD NHS,Legal,"£1,348.01"
5201109597,CRITICAL PROJECT RESOURCING LTD,People and Recruitment,"£1,347.84"
5201109596,CRITICAL PROJECT RESOURCING LTD,People and Recruitment,"£1,347.84"
5201109595,CRITICAL PROJECT RESOURCING LTD,People and Recruitment,"£1,347.84"
5201110360,CRITICAL PROJECT RESOURCING LTD,People and Recruitment,"£1,347.84"
8001480788,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,347.30"
8001479861,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£1,345.32"
8001480484,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,345.08"
8001479487,WGC HOUSING ASSOCIATION LTD,Temporary Accommodation,"£1,343.66"
5201111412,REDACTED PERSONAL DATA,Sport and Leisure,"£1,342.00"
8001495506,GRACE EYRE FOUNDATION,Social care,"£1,340.91"
8001482149,SEVACARE (UK) LTD,Social care,"£1,339.80"
200334707,METROPOLITAN SUPPORT TRUST,Social care,"£1,335.31"
5201111453,REDACTED PERSONAL DATA,Sport and Leisure,"£1,329.80"
8001479182,REDACTED PERSONAL DATA,Social care,"£1,328.57"
5201109859,MYERS (IDEAL SUPPLIES) LTD,General,"£1,328.00"
8001489481,PREMIER CAREWAITING LTD,Social care,"£1,327.76"
1900783822,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£1,327.48"
1900783398,REDACTED PERSONAL DATA,General,"£1,325.00"
1900783400,REDACTED PERSONAL DATA,General,"£1,325.00"
1900784375,REDACTED PERSONAL DATA,Legal,"£1,325.00"
8001460744,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,324.68"
5201110858,BRITISH TELECOMMUNICATION PLC,IT and Telecoms,"£1,324.51"
5201109855,GLEEDS MANAGEMENT SERVICES LIMITED,"Construction, Property and Fac Man","£1,324.00"
5201109019,IRON MOUNTAIN (UK) LTD,General,"£1,320.73"
8001492227,TOWER ESTATES (LODGE) LIMITED,Temporary Accommodation,"£1,320.00"
8001485011,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,320.00"
8001488741,PERSON CENTRED CARE HOMES DAY OPPS,Social care,"£1,320.00"
1900784311,SAPH LTD,Social care,"£1,319.36"
8001479301,REDACTED PERSONAL DATA,Temporary Accommodation,"£1,314.04"
8001485561,DE BOHUN CARE LTD,Temporary Accommodation,"£1,311.43"
5201109594,CRITICAL PROJECT RESOURCING LTD,People and Recruitment,"£1,310.40"
5201110587,REDACTED PERSONAL DATA,Sport and Leisure,"£1,310.20"
5201109761,REDACTED PERSONAL DATA,Social care,"£1,307.04"
5201108896,CRYSTAL PERSONNEL SERVICES,General,"£1,301.00"
5201110625,SUPAMUMS SUPPORT SERVICES LIMITED,General,"£1,300.00"
5201111596,NLPC LTD,General,"£1,300.00"
1900783202,REDACTED PERSONAL DATA,Legal,"£1,300.00"
5201111597,HIREMECH LIMITED,General,"£1,300.00"
5201109234,ARCHANT COMMUNITY MEDIA LIMITED,Communication,"£1,300.00"
8001492592,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£1,290.71"
5201110634,SOCITM LIMITED,Learning and Development,"£1,290.00"
8001484974,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,290.00"
8001484962,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,290.00"
8001484964,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,290.00"
1900782610,ENVIRONMENT AGENCY,Learning and Development,"£1,290.00"
8001480545,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,290.00"
8001480574,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,290.00"
8001481830,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,287.30"
8001478692,RUNWOOD HOMES LTD,Temporary Accommodation,"£1,284.73"
8001476829,REDACTED PERSONAL DATA,Social care,"£1,284.28"
8001480728,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£1,283.70"
1900783144,REDACTED PERSONAL DATA,Communication,"£1,278.03"
1900782435,BRANTWOOD HOUSE,Temporary Accommodation,"£1,277.20"
5201109697,REDACTED PERSONAL DATA,Sport and Leisure,"£1,276.93"
8001487002,SATELLITE CONSORTIUM LIMITED,Social care,"£1,276.51"
5201109225,TNT POST LONDON LTD,General,"£1,275.89"
1900783178,UNIVERSITY OF BIRMINGHAM,Learning and Development,"£1,275.00"
8001488767,MARCUS & MARCUS LTD,Social care,"£1,273.28"
1900783631,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£1,263.46"
8001481997,NEW CENTURY CARE (FINCHLEY) LTD,Temporary Accommodation,"£1,262.14"
8001483702,EXTRA MILE CARE COMPANY,Social care,"£1,262.10"
8001497574,RUNWOOD HOMES LTD,Temporary Accommodation,"£1,262.06"
1900783079,LION HEART RECRUITMENT LTD,People and Recruitment,"£1,260.24"
8001496780,GREENFIELDS RES CARE HOMES LTD,Temporary Accommodation,"£1,260.10"
1900783186,NEWLON HOUSING TRUST,Temporary Accommodation,"£1,260.00"
5201111385,MIDLAND FORESTRY LTD,Public Realm,"£1,260.00"
1900782381,COMMUNITY HOUSING LTD,Temporary Accommodation,"£1,260.00"
8001492213,RHP SERVICES LIMITED,"Construction, Property and Fac Man","£1,260.00"
8001480530,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,260.00"
8001480523,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,260.00"
8001480525,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,260.00"
8001480529,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,260.00"
5201108895,CRYSTAL PERSONNEL SERVICES,General,"£1,259.00"
8001477024,ARAN HOMES LIMITED,Temporary Accommodation,"£1,258.52"
8001496421,ARAN HOMES LIMITED,Temporary Accommodation,"£1,258.52"
5201110354,FRONTLINE STAFFING LTD,People and Recruitment,"£1,256.86"
