Transaction,Vendor,Category,Amount
1900775108,ST MARY'S CE PRIMARY SCHOOL,General,"£4,386.58"
5201099859,ROYAL MAIL GROUP PLC,General,"£4,385.34"
1900776324,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£4,376.99"
8001432585,DRS CARE HOMES LTD,Temporary Accommodation,"£4,372.64"
5201101513,LEISUREJOBS,Recruitment and People,"£4,371.12"
8001432651,DRS CARE HOMES LTD,General,"£4,325.89"
8001432519,BROWNLOW ENTERPRISES LTD,Social Care,"£4,308.57"
8001435395,SANKOFA CARE LTD,Children and Education,"£4,299.04"
8001432606,APOLLO CARE & SUPPORTED HOUSING LTD,Temporary Accommodation,"£4,291.68"
8001435530,FAMILIES@FAMILY CARE LIMITED,Children and Education,"£4,264.44"
5201101419,NORTHGATE SOLAR CONTROLS,Communication,"£4,250.00"
5201100683,THE CROUCH END PROJECT,General,"£4,250.00"
5201101303,METROPOLITAN POLICE AUTHORITY,General,"£4,236.43"
5201100240,MOTT MACDONALD LIMITED,"Construction, Property and Fac Man","£4,216.85"
5201101403,COLLEGE OF HAR'GY ENF'LD & NE LONDO,Learning and Development,"£4,210.00"
5201101100,OHS LTD,"Construction, Property and Fac Man","£4,210.00"
200332116,HARINGEY PHOENIX GROUP,Social Care,"£4,194.01"
8001424641,ADELAIDE CARE LTD,Social Care,"£4,186.14"
5201101512,LEISUREJOBS,Recruitment and People,"£4,180.57"
8001432556,CHOICE SUPPORT,Temporary Accommodation,"£4,165.76"
200332087,METROPOLITAN SUPPORT TRUST,Social Care,"£4,158.69"
200332629,HARINGEY PHOENIX GROUP,Social Care,"£4,146.00"
8001435146,ONE HOUSING GROUP LTD,Social Care,"£4,138.57"
1900775846,AFRICAN CARIBBEAN DAY NURSERY,General,"£4,132.80"
8001432422,WILLOWCROFT CARE HOME LTD,Temporary Accommodation,"£4,088.60"
